id,no_farmacia,ds_endereco_farmacia,no_cidade,uf
15046,DROGA FLORA PRODUTOS FARMACEUTICOS LTDA - ME,AV ANA ROCHA DE OLIVEIRA 180,TRES FRONTEIRAS,SP
15047,DROGARIA ALIANCA LTDA - ME,"PREDIO LARANJAL, 328",NATAL,RN
15048,JMS FARMACIA LTDA - ME,"afonso cla, INACIO LAMAS, 162, loja B",AFONSO CLAUDIO,ES
15049,FARMACIA LAINE E ALBANEZ LTDA - ME,"AVENIDA GETULIO VARGAS, 920",LAGOA DA PRATA,MG
15050,FARMACIA ECONOMICA LTDA - ME,"RODOVIA GOVERNADOR JOSE SETTE, 8.891",CARIACICA,ES
15051,DROGARIA GILEADE LTDA. ME,"RUA BENJAMIN CONSTANT, 1396, SALA 02",BLUMENAU,SC
15052,DROGARIA FRUTAL LTDA - ME,AV BENJAMIN CONSTANT 148,FRUTAL,MG
15053,J & L FARMACIA LTDA,"RUA LUCIANO PAIVA DE SOUZA, 413",IGARASSU,PE
15054,DROGARIA CAMPINHO LTDA - ME,"AVENIDA PRESIDENTE VARGAS, Nº 380, LOJA: D",DOMINGOS MARTINS,ES
15055,VICTOR HUGO FERNANDES - ME,"AVENIDA BRASIL, 688",URAI,PR
15056,SANDRO MARCON BATISTA - ME,"RUA MARINGA ,	257",AMPERE,PR
15057,DROGARIA SANCHES MACHADO DE MARILIA LTDA - ME,AV DR. DURVAL DE MENEZES 505 D,MARILIA,SP
15058,FARMACIA MAR AZUL LTDA - ME,"AV. GIRASSOL, 2585, loja 3",BOMBINHAS,SC
15059,R. A. KATAOKA -ME,"AVENIDA COMENDADOR GENTIL GERALDI, 2704",CIDADE GAUCHA,PR
15060,CARLOS ALBERTO DAVI ME,"DR PEDRO MEDEIROS, Nº 46",SANTA CRUZ,RN
15061,R. A. HERMES H. VEIGA,"AV. BRASIL, 865",MARILANDIA DO SUL,PR
15062,FARMACIA ASK LTDA - ME,AV GOVERNADOR IVO SILVEIRA 1365 SALA 01,IRANI,SC
15063,DROGARIA PICO DA BANDEIRA LTDA - ME,"RUA FIORAVANTE PADULA, 180",ESPERA FELIZ,MG
15064,ASSUNCAO E PAIVA CAMPOS LTDA,"FRANCISCO NAVARRO, Nº 122",VARGINHA,MG
15065,FARMACIA VIP 2 LTDA - EPP,"RUA CABUCU, 144",RIO DE JANEIRO,RJ
15066,E. D. GARCIA & CIA LTDA ME,"AVENIDA SAO JOAO, 367 - BOX 1",VOTORANTIM,SP
15067,VANDER JESUS DE AGUIAR - ME,"RUA DA BELEZA, 491",SANTA BARBARA DOESTE,SP
15068,"ALMEIDA, CORREIA E MARGRAF LTDA","AV ERNESTO VILELA, 550, SALA 02",PONTA GROSSA,PR
15069,BR FARMACEUTICA LTDA,"RUA DR. MORAIS FILHO, 88",GUARATINGUETA,SP
15070,DROGARIA ROUXINOL LTDA.,rua RICARDO MACHADO 560,RIO DE JANEIRO,RJ
15071,MEDEIROS MEDICAMENTOS LTDA - ME,"Rua PRESIDENTE JOAO PESSOA, 41",SAO MAMEDE,PB
15072,M DO P DO S S LEANDRO - ME,Rua AGNELO PEREIRA DA SILVA 2580 Sala 01 SAO JOAO,TERESINA,PI
15073,ERICO RIBEIRO BRAGA - ME,"RUA LIVRAMENTO, 186",CAMAQUA,RS
15074,ANDRE ORLANDO JUNIOR - ME,"RUA PARANA, 128",TUPASSI,PR
15075,SERGIO ROBERTO GODINHO - ME,"AVENIDA TIRADENTES, 270",SAO ROQUE,SP
15076,FARMACIA VIA PATY LTDA - ME,"RUA CAP ZENOBIO, 10 - LOJA 3",PATY DO ALFERES,RJ
15077,UANDRESON LOPES LEITE - ME,"TRAVESSA BARAO DO RIO BRANCO, 31",BRUMADO,BA
15078,VIRIATO WAGNER OLIVEIRA - ME,"AVENIDA CORONEL MOACIR JOSE SILVA, 1255",JAIBA,MG
15079,DELLA FARMA LTDA - ME,"ALAMEDA TROMBUDO ALTO, 148",AGROLANDIA,SC
15080,D. B. CONTE -ME,"AVENIDA EXPEDICIONARIO DO BRASIL, 704, SALA 01",BOQUEIRAO DO LEAO,RS
15081,DIVERNANDES DROGARIA LTDA,"ESTRADA COVANCA DA CONCEICAO, 882, LOJA 104",SAO GONCALO,RJ
15082,DROGARIA EDUFAFE LTDA ME,"AVENIDA PREFEITO TELESFORO CANDIDO DE REZENDE, 40, A",CONSELHEIRO LAFAIETE,MG
15083,KARINA AKAUANA BERNARDI - ME,RUA DO COMERCIO S/N SALA 01,ALTO BELA VISTA,SC
15084,DROGARIA E PERFUMARIA SAO JOSE DE LINS LTDA - EPP,"RUA HUMBERTO DE CAMPOS, 12",LINS,SP
15085,PALERMO & GARCIA DROGARIA E PERFUMARIA LTDA - ME,AV DIOGO ALVARES 1111,CAMPINAS,SP
15086,FERRY & ARAUJO LTDA,"PRACA PREFEITO MARIO CARNEIRO, 76",DORES DO INDAIA,MG
15087,K.Y.Z. - PRODUTOS FARMACEUTICOS EIRELI - ME,PC 26 DE JULHO 278 TERREO,CASTRO ALVES,BA
15088,MARA TERESINHA CORTELETTE FUHR & FILHA LTDA,"TRES PASSOS, 399, SALA 02",BOA VISTA DO BURICA,RS
15089,JOAO LEONARDO S SORIANO DROGARIA - ME,AVENIDA JOSE BENI 235,CASA BRANCA,SP
15090,SOMAVID DROGARIA LTDA,"R RUI BARBOSA, 97",JAU,SP
15091,ALEXANDRE & ALEXANDRE COMERCIO DE MEDICAMENTOS LTDA EPP,"AV. NEREU RAMOS, 2488, SALA 1 E 2",SOMBRIO,SC
15092,MARCOS GOMES DE AZEVEDO,"RUA SEBASTIAO LOPES, Nº 101, LOJA: 01",COLUNA,MG
15093,LIMA ROSA 2 LTDA - ME,"AVENIDA JOSE MODESTO DE AVILA, 398 - LETRA: A",JOAO MONLEVADE,MG
15094,D. Z. DE CONTO BATISTUS & CIA LTDA - ME,R BARAO DO RIO BRANCO 1110 SALA 004,CASCAVEL,PR
15095,DROGARIA PRECO POPULAR LTDA - ME,rua QUINTINO BOCAIUVA 551,GOVERNADOR VALADARES,MG
15096,PIGNANELI & GIOVANNETTI LTDA,"RUA MARECHAL DEODORO, 980",SANTO ANTONIO DA PLATINA,PR
15097,FARMALUCAS COMERCIO DE MEDICAMENTOS LTDA - ME,"AVENIDA LUIS CARLOS TESSELE JR, 199-N - caixa postal 296",LUCAS DO RIO VERDE,MT
15098,ANGELO LISOT - ME,AV SETE DE SETEMBRO 1325 TERREO,SARANDI,RS
15099,DROGARIA CAMARGO & ASSIS LTDA-ME,"AVENIDA BRASIL, 255",MARLIERIA,MG
15100,SAO BENTO COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,"AVENIDA AV AFONSO PENA, 20",CAMPO GRANDE,MS
15101,FARMACIA PAGUE MENOS DE FRUTAL LTDA - ME,"AVENIDA RIO DE JANEIRO, 1670",FRUTAL,MG
15102,FARMA BELLA IND. E COM. DE MEDICAMENTOS E COSMETICOS LTDA - ME,"AVENIDA SETE DE SETEMBRO, 2921",ESPIGAO DOESTE,RO
15103,DROGARIA AMANHECE LTDA - ME,"RUA OSWALDO CRUZ, 111",ARAGUARI,MG
15104,FARMAVIP SERRA VERDE LTDA - ME,"AVENIDA EDNE RONTANI BASSETE, 850",PIRACICABA,SP
15105,ROSSINFARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - ME,"RUA ELPIDIO NIVOLONI, 201 - LOJA 2",CAMPINAS,SP
15106,EWERSON DANIEL LAURINDO - EPP,"AVENIDA JARAGUA DO SUL, 1075",BALNEARIO BARRA DO SUL,SC
15107,VIANA FERNANDES MEDICAMENTOS E PERFUMARIA LTDA - ME,"AVENIDA CONSTANTINO PINTO, 200 - LOJA C",MURIAE,MG
15108,SANTOS E BATISTA DE MOC LTDA - ME,"AVENIDA CASTELAR PRATES, 254",MONTES CLAROS,MG
15109,GASPARELLO & ROCHA LTDA,"AVENIDA PARANA, 469",RANCHO ALEGRE DOESTE,PR
15110,ALINE CASARIN - ME,comercial GERALDO PEREIRA 405 sala 101,ESTRELA,RS
15111,FARMAFATIMA COMERCIO DE MEDICAMENTOS LTDA,"AVENIDA CRISTOVAO COLOMBO, 1226 - SALA 01",MARIALVA,PR
15112,VANIA MARIA KOCHHANN TRIKEIS & CIA LTDA - ME,"RUA GOVERNADOR JORGE LACERDA, 205, EDIFÍCIO",JACINTO MACHADO,SC
15113,DROGA CERTA COMERCIO DE MEDICAMENTOS LTDA - ME,"AV. BANDEIRANTES, Nº 2280",RONDONOPOLIS,MT
15114,SONIA M. O. DE SOUZA - ME,"AVENIDA RIO BRANCO, 679 (lj 01)",CARAGUATATUBA,SP
15115,DROGARIA MAXI BETIM LTDA - EPP,AVENIDA BELO HORIZONTE 781 LOJA A JARDIM TERESOPOLIS,BETIM,MG
15116,DROGARIA RABELO E RABELO LTDA ME,"SAO VICENTE DE PAULO, Nº 779",CAMPOS GERAIS,MG
15117,SANTANA SA DROGARIA FARMACIAS,"AVENIDA EUCLIDES DA CUNHA, 83 - TERREO",SALVADOR,BA
15118,DROGARIA D.M.X. EIRELI - ME,avenida DESEMBARGADOR RIVADAVIA SN qd.a lt.03,CAMPOS BELOS,GO
15119,EWS FARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA.,"AVENIDA MARINA, 364",MONGAGUA,SP
15120,SÃO BENTO COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,AV. JULIO DE CASTILHO Nº 3130,CAMPO GRANDE,MS
15121,EVERSON LUIZ LIMBERGER - DROGARIA - ME,"AVENIDA TOMAS COSTA, 478 - SALA 2",LAGOAO,RS
15122,JULIANO TABONI ROSA GOES - ME,"Rua VEGA, 568",QUINTA DO SOL,PR
15123,SILVA & ALMEIDA MEDICAMENTOS LTDA - ME,RUA ANA MARIA DE JESUS SILVA 191 qd11 lt02,CAIAPONIA,GO
15124,LILIANE CARVALHO DA SILVA & CIA LTDA - ME,"RUA TONIQUINHO PEREIRA, 617 B",LAVRAS,MG
15125,RENILDES PEREIRA DE SOUZA,"RUA MONSENHOR HONORATO, 362",POCOES,BA
15126,IRMAOS ALVES MEDICAMENTOS LTDA,"ALAMENDA - CONTORNO, 2914, QD. ÁREA LT.",GOIANIA,GO
15127,VIANTE & VIANTE COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,"DR MUNHOZ DA ROCHA, ESQUINA COM A XV DE, 390",IRATI,PR
15128,TABOSA E REINAUX LTDA - ME,AVENIDA DUQUE DE CAXIAS 274,GARANHUNS,PE
15129,SAO BENTO COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,"AVENIDA CAPITAO OLINTO MANCINI, 868",TRES LAGOAS,MS
15130,ADRIANA MARCELA DE ALMEIDA RODRIGUES DROGARIA - ME,AV. CLARA GIANOTTI DE SOUZA 954 LJ 01,REGISTRO,SP
15131,DROGARIA E PERFUMARIA ESTACAO DO VALE LTDA - ME,"RUA CORONEL FRANCISCO LIMONGI, 369 - LOJA",SAO JOSE DO VALE DO RIO PRETO,RJ
15132,DROGARIA FABYOLA LTDA ME,"PEDRO NOVOA, 276",NATAL,RN
15133,DROGARIA IRMAOS NOGUEIRA LTDA. - ME,"RUA MEXICO, 172, LJ",ITAUNA,MG
15134,DROGARIA ARCO IRIS LTDA ME,"RUA AVENCAS, 15, LOJA 07",ARACRUZ,ES
15135,DROGARIA DROGAFUJI LTDA,QUADRA SHCS CL QUADRA 309 BLOCO C S/N,BRASILIA,DF
15136,RIBEIRO E LEMES MEDICAMENTOS LTDA - ME,rua MARIA INES DE JESUS 388 rua,ANAPOLIS,GO
15137,N H SILVA & CIA LTDA - ME,AV BELO HORIZONTE 351 QUADRA 21 LOTE 01,ITAUCU,GO
15138,FARMACIA MICHELLE LTDA,"SEVERINO B DE MORAIS, Nº 19",JOAO PESSOA,PB
15139,A. L. FUNES FARMACIA ME,"PARQUE DAS ESMERALDAS, Nº 100",FRANCA,SP
15140,ELIZANGELA PIRES DOS SANTOS PINTO - ME,"PRAÇA ARTHUR LAGO, 30 - TERRÉO",SALVADOR,BA
15141,MA CONDE DROGARIA LTDA - EPP,"AVENIDA DR. ADHEMAR DE BARROS, 476",SAO JOSE DOS CAMPOS,SP
15142,DROGARIA CIDADE PAISAGEM LTDA,"AVENIDA LUIZ ARANTES JUNIOR, 29",PIQUETE,SP
15143,ANDRESSA ZAVATINI COLOMBO MARCONDES - ME,AVENIDA VINICIUS DE MORAES 1171 SALA 04,SOROCABA,SP
15144,MA MEDICAMENTOS LTDA,"RUA TRES, 126, LOJA 02",RIBEIRAO DAS NEVES,MG
15145,GREGO & DIAS LTDA - ME,"RUA SAO PAULO, 911",APARECIDA DOESTE,SP
15146,YOSHIMURA & SOUZA LTDA - EPP,"RUA RIO BRANCO, 20-40, LOJA 07",BAURU,SP
15147,E J DE SOUZA DROGARIA - ME,Rua RIO DE JANEIRO 378 sala 2,NOVA ODESSA,SP
15148,DROGARIA DRUGSTORE LEX LTDA - ME,RUA INGLATERRA 265 LOJA,BELO HORIZONTE,MG
15149,FARMACIA BOM JESUS DE GOIOERE LTDA,"AV DANIEL PORTELA, 670",GOIOERE,PR
15150,EWS FARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA.,"RUA CARNEIRO DE SOUZA, 58",TAUBATE,SP
15151,BLANCO & SANTOS LTDA - ME,RUA MATO GROSSO 114,LIDIANOPOLIS,PR
15152,RRX COMERCIO DE MEDICAMENTOS LTDA. - ME,"AVENIDA CONTORNO SN QD AREA, LT 01, ESQ C/ PARANÁ",URUACU,GO
15153,DROGARIA AZEVEDO LTDA ME,"AVENIDA BRASIL, 2565",COLATINA,ES
15154,DROGARIA BIANCHI LTDA - ME,"RUA SAO MIGUEL, Nº 630",MOGI MIRIM,SP
15155,MYLENNA SOUZA DOS SANTOS,"RUA JURACY MAGALHAES JUNIOR, 88 - CASA",TUCANO,BA
15156,FARMACIA ROCHA & ARAGAO LTDA,"MAYNARD GOMES, Nº 880",AQUIDABA,SE
15157,FARMACIA MORRO REUTER LTDA,"RUA INDEPENDENCIA, 236",MORRO REUTER,RS
15158,G & T DROGARIA LTDA - ME,R AMADEU FRANCISCONE DE MEDEIROS 210,CABO FRIO,RJ
15159,DROGARIA FARMALINK LTDA,"COMERCIAL JOVENTINO RODRIGUES, S/N, qd. 13 lt. 14/20 lj. 03",LUZIANIA,GO
15160,ARIANE C. KESPER PINTO - ME,"RUA PROF. FRANCISCO MORATO, 12",VARGEM,SP
15161,POUPEMAIS COM. DE PRODUTOS FARMACEUTICOS LTDA - ME,AVENIDA GOIAS 992,ANDIRA,PR
15162,DROGARIA NOVA ALEM PARAIBA LTDA - EPP,"AV ANTONIO A JUNQUEIRA, 551",ALEM PARAIBA,MG
15163,LILIAN D. TRINDADE BORCHARDT - EPP,"rua 7 DE SETEMBRO, 972",SAO VICENTE DO SUL,RS
15164,ERICA BRAVIN GILIO - ME,AV DR. ANTONIO MORAES DE BARROS 458,ATALAIA,PR
15165,RM FARMA LTDA,"AVENIDA PEDRO LUDOVICO, 550 - LOJA 01",ANAPOLIS,GO
15166,AM COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,"AVENIDA DONA TEREZINHA DE MORAES, 868 - Qd 136 Lt 15",GOIANIA,GO
15167,SARE MEDICAMENTOS ESPECIAIS LTDA - ME,"AV FLORIANO PEIXOTO, Nº 464",UBERLANDIA,MG
15168,SOLUFARMA - COMERCIO DE MEDICAMENTOS LTDA.,"AVENIDA JULIO BORELLA, 1233",MARAU,RS
15169,FRANCIELE CARINE PERIN - ME,AV. MAURICIO CARDOSO 346 SL 02,CAMPINAS DO SUL,RS
15170,DROGARIA D & G LTDA - ME,"PADRE MARINO, 441",PEDRALVA,MG
15171,CONSTRUFARMA DROGARIA LTDA - EPP,"AVENIDA DA AMIZADE, 1190",SANTA BARBARA DOESTE,SP
15172,SANTANA SA DROGARIA FARMACIAS,"AV EUCLIDES DA CUNHA, Nº 132, TERREO",SALVADOR,BA
15173,T.I.R. COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA,"RUA LAURO SCHROEDER, 838",JOINVILLE,SC
15174,QUIRINO & ZALAZAR LTDA - ME,AV RIO DE JANEIRO 424,SARANDI,PR
15175,NEX DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA,"AVENIDA GOVERNADOR CARLOS DE LIMA CAVALCANTI, 1787",OLINDA,PE
15176,DROGARIA A & R LEMOS LTDA - ME,"LOJA MANSOES URBANAS LOTE 04, 04 - EQR 5/7",BRASILIA,DF
15177,DROGARIA SERRAMAR LTDA - EPP,"RUA FLORIANO PEIXOTO, 230",SERRA,ES
15178,SANTO ANDRE COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA CORONEL ARISTILIANO RAMOS, 283 - TERREO",GASPAR,SC
15179,DROGARIA LIDER DE VALVERDE LTDA - ME,"AV ABILIO AUGUSTO TAVORA, 4210, LT1 A QD 0",NOVA IGUACU,RJ
15180,FARMACIA E DROGARIA FARMALAZARO LTDA,"AVENIDA FERNANDO OSORIO, 816",PELOTAS,RS
15181,DROGARIA PANDOLFI LTDA - EPP,"RUA MONSENHOR PEDRINHA, 454 - LOJA A",LINHARES,ES
15182,FARMACIA ESTER & SOL LTDA-ME,"RUA JOSE BORGES, 27 LOJAC",RIO DE JANEIRO,RJ
15183,FARMACIA FONSECA LTDA - ME,RUA DEOCLECIO LUSTOSA 310,BELEM DE SAO FRANCISCO,PE
15184,LETICIA DALOCE POSSAGNOLO - ME,"Avenida BRASIL, 1157 LOJA",CAMBARA,PR
15185,DROGARIA MAIS BRASIL LTDA.,"RUA 15 DE DEZEMBRO, 21, SALA 01",ANAPOLIS,GO
15186,T C PEREIRA & MACHADO LTDA - ME,"AV SETE DE SETEMBRO, 526, A-B-C",ENGENHEIRO BELTRAO,PR
15187,ARROIO FARMA COMERCIO DE MEDICAMENTOS LTDA,"rua XV DE NOVEMBRO, 83",ARROIO TRINTA,SC
15188,RUCHTER & PIERINI LTDA - ME,"AV JULIO DE CASTILHOS, 1168, LOJA 01",CAXIAS DO SUL,RS
15189,LP FARMA LTDA,"AV AFONSO VAZ DE MELO,640, LOJA 104,",BELO HORIZONTE,MG
15190,B BERGAMASCHI DE COSTA ME,"CIDADE MATO GROSSO, 610",ITIQUIRA,MT
15191,FARMARAYA COMERCIO DE MEDICAMENTOS LTDA,"RUA JC10, S/N, Qd76 L1 sala 3 e 4",GOIANIA,GO
15192,FERNANDA MENEGAZ,"RUA TRANQUILO BASSO, 380 (Clinica Saude Center)",TAPEJARA,RS
15193,FARMACIA BOA VISTA LTDA - ME,"RODOVIA ANTONIO PEDRO CANDIDO, 4090",ICARA,SC
15194,FARMACIA ESSENCIA SCHNEIDER LTDA - ME,"Rua PADRE BALDUINO RAMBO, 180, sala 01",TUNAPOLIS,SC
15195,DROGARIA MALACRIDA LTDA - ME,"RUA BARAO DO RIO BRANCO, 113",REGENTE FEIJO,SP
15196,RN MEDICAMENTOS E PERFUMARIAS LTDA - EPP,"RUA HAYEL BON FAKER, 1613",DOURADOS,MS
15197,FARMACIA PAULA LTDA - ME,"R. HEITOR BARBOSA, N 13 B",PALMA,MG
15198,J. A. CEPIL & M. S. M. GALHARDO CEPIL LTDA - EPP,"RUA NOVE DE JULHO, 81",SALTO,SP
15199,DROGARIA E FARMACIA NOVA SANTA BARBARA LTDA - ME,"AV. SANTOS DUMONT, Nª2383 - SALA 01",CRICIUMA,SC
15200,DROGARIA CASTELLI LTDA - ME,"AV. JOAO RODOLFO CASTELLI, 1670",SAO JOSE DOS CAMPOS,SP
15201,DROGARIA INOVE COMERCIO DE MEDICAMENTOS E COSMETICOS LTDA,"RUA SENADOR JOAO KUBITSCHEK, 84 - Qd 15 Lt 4",GOIANIA,GO
15202,MANUELA OLIVEIRA ALBUQUERQUE 32705927875,"RUA SETE DE SETEMBRO, 155",ANHEMBI,SP
15203,CINTIA DOMINO SANTOS - FARMACIA - ME,"RUA DR CAMPOS MELLO, 885",RIO AZUL,PR
15204,ESA DROGARIA LTDA - EPP,"AV. ALFREDO ALBUQUERQUE, Nº 02",RIO DE JANEIRO,RJ
15205,C. R. ANTIGO - ME,"RUA RIO TAPAJOS, 366",XINGUARA,PA
15206,DROGARIA MACENA LTDA - ME,"COMERCIAL - CENTRAL BLOCO 02 LOJAS 26 E 27, S/N (SETOR HOTELEIRO)",BRASILIA,DF
15207,COSTA E VIEIRA MEDICAMENTOS LTDA - ME,AV FRANCISCO VIEIRA MARTINS 819 LOJA: 04;,PONTE NOVA,MG
15208,LEILA R. DA SILVEIRA - ME,R BENTO GONCALVES 895 PREDIO,CACEQUI,RS
15209,WELINGTON TAVARES CASTILHO - ME,RUA DELFIM MOREIRA 65,AREADO,MG
15210,AR COMERCIO DE MEDICAMENTOS LTDA ME,"AV BRASIL, Nº 786, N3",JI-PARANA,RO
15211,R. E. FARMACIA LTDA - ME,"ESTRADA COSTA GAMA, 4448 - LOJA 02",PORTO ALEGRE,RS
15212,RODOLFO DOS SANTOS JAQUINTA ME,"FREI SERVACIO, 305",PEDRA PRETA,MT
15213,GT & FERRAZ DROGARIA LTDA - ME,"PREDIO EUZEBIO GONCALVES DUTRA, 44 - AO LADO DO JARDIM",MANHUACU,MG
15214,MARCIA LIMA DOS SANTOS - ME,AV. MANOEL ANTUNES PESSOA 535,LAGES,SC
15215,PEDROSO E GARCIA FARMACIA LTDA - ME,avenida SETE DE SETEMBRO 1664 sala 02,ARARANGUA,SC
15216,DROGARIA ELICAR DO ANIL LTDA - EPP,EST DE JACAREPAGUA 6135  LOJA A,RIO DE JANEIRO,RJ
15217,BELOTO & PEREIRA LTDA - ME,"RUA MONSENHOR JOAQUIM CLEMENTE BUENO DE MEDE, 43",ITU,SP
15218,M.S. FARMA LTDA-ME,"AVENIDA INTERVENTOR MANOEL RIBAS, 278 - TERREO",MAMBORE,PR
15219,DROGARIA CASTILHO & JARDIM LTDA - ME,"R DUQUE DE CAXIAS, 1500",UBERLANDIA,MG
15220,DROGARIA VILELA E SILVA LTDA ME,"RUA DUQUE DE CAXIAS, 551 - ESQUINA",PARAISOPOLIS,MG
15221,DROGARIA E PERFUMARIA GAJV LTDA,"AV BRASILIA, 2355, LOJA 2",CORONEL FABRICIANO,MG
15222,COMERCIO DE MEDICAMENTOS BRINHOL & PUHL LTDA - ME,"AVENIDA DOM PEDRO II, 2680, SALA, 02",SANTO CRISTO,RS
15223,TALITA DE MORAES - FARMACIA,"AV IGUACU, 210",CAPITAO LEONIDAS MARQUES,PR
15224,AFONSO HENRIQUE AVALLONE - ME,"RUA TEOFILO ANDRADE GAMA, 3901",TATUI,SP
15225,LUCIARA DE OLIVEIRA GIANECHINI,PRESIDENTE VARGAS 514 SALA A,CAMAQUA,RS
15226,TEDESCHI DROGARIA MIRASSOL LTDA.-ME,"RUA NOVE DE JULHO, 17-97",MIRASSOL,SP
15227,KESTERING & COELHO LTDA ME,"RUA FLORIANOPOLIS, Nº 1719 SETOR 07",JARU,RO
15228,ELAINE MARIA MEIRA - ME,"RUA SANTA LUZIA, 41",ITAMARANDIBA,MG
15229,CRESPO E LIMA DROGARIA E PERFUMARIA LTDA - ME,"RUA CONSELHEIRO OTAVIANO, 240",CAMPOS DOS GOYTACAZES,RJ
15230,M. T. DE ARAUJO - DROGARIA - ME,"RUA VEREADOR HUMBERTO DE BARROS FRANCO, 325",MOGI MIRIM,SP
15231,FARMACIA PRECO POPULAR DE PONTALINA LTDA - ME,AV BAHIA 366 SALA 02,PONTALINA,GO
15232,MAYARA TAISA BARBOSA - ME,"RUA BAGUACU, 2006",ARACATUBA,SP
15233,SANTIAGO & SANTIAGO DROGARIA E PERFUMARIA LTDA,"RUA PINHEIROS, 175",OURO BRANCO,MG
15234,SARIDY FERNANDES AMARAL MALHEIRO - ME,"RUA CORONEL AUGUSTO, 87 , PONTO COMERCIAL",IGAPORA,BA
15235,ADEMAR JACINTO MUNIZ JUNIOR - ME,"RUA MANOEL COSTA FILHO, 23",RESPLENDOR,MG
15236,MAXI DROGARIA VIANNA LTDA - ME,"BOA VISTA, 155",ARAPIRACA,AL
15237,J. BERNARDI & CIA LTDA,"RUA BARAO DO RIO BRANCO, 3084",TOLEDO,PR
15238,BRITO & NOGUEIRA LTDA - ME,AV. NOSSA SRA. DE FATIMA 1930 casa,TOCANTINOPOLIS,TO
15239,CARLOS MARCHETTO - ME,"RUA CAMPO GRANDE, 1070",BRASNORTE,MT
15240,FRANCIELLI ANITA MAIA - ME,"AVENIDA NOSSA SENHORA DA LUZ, 1220",CLEVELANDIA,PR
15241,FARMACIA E DROGARIA ESSENCIALFARMA LTDA ME,"11 DE NOVEMBRO, 3511",MASSARANDUBA,SC
15242,RAMOS & ALVES DROGARIA LTDA - ME,JARDIM PARQUE JUPIA,PIRACICABA,SP
15243,DROGARIA VIDE BULA LTDA - ME,"COMERCIAL QR 502 CONJUNTO, 01 - LOTE 01 LOJA 01",BRASILIA,DF
15244,DIABETIQUE COM. DE PROD. E MEDICAMENTOS PARA DIABETICOS LTDA,"DAS AMERICAS, 700, LOJA 106H",RIO DE JANEIRO,RJ
15245,PIZANI & SANTONINO DROGARIA LTDA - ME,"RUA GERALDO BERTONHA, 12, SALAO 01",LIMEIRA,SP
15246,FARMACIA BIO VIDA LTDA - ME,"AVENIDA TOCANTINS, QUADRA 09, LOTE 27, SN - SALA 01",PALMAS,TO
15247,DROGARIA MARTINS DE FREITAS & QUEIROZ MARTINS LTDA - ME,"AVENIDA ELIAS DAVID DE QUEIROZ, 1033",CARNEIRINHO,MG
15248,DROGA CENTRO GOIATUBA LTDA - ME,AVENIDA PRESIDENTE VARGAS 668 CENTRO,GOIATUBA,GO
15249,D ' FARMA PRODUTOS FARMACEUTICOS LTDA -ME,"RUA 20, 754",PARAISO DO TOCANTINS,TO
15250,LGP FARMACIA E PERFUMARIA LTDA ME,"comercial PIRACICABA, 01, PROX. A PONTE",VILA VELHA,ES
15251,F A PEREIRA DA SILVA - ME,"AV. PRIMEIRO DE MAIO, 2194, SETOR 01",CAMPO NOVO DE RONDONIA,RO
15252,SANTA CRUZ MEDICAMENTOS GENERICOS LTDA,"FRANCISCO LOPES DE ALMEIDA , 250",CAMPINA GRANDE,PB
15253,OSEIAS GONCALVES DA SILVA,"RUA LUIZ GONZAGA RODRIGUES, 678 - Q 5 L 11 SALA 3",PALMEIRAS DE GOIAS,GO
15254,FARMACIA PINHEIRO LTDA - ME,AV BRASIL 1148,ALTO PIQUIRI,PR
15255,GLOBOLINK PHARMA LTDA - ME,"AVENIDA GETULIO VARGAS, 935",JANDAIA DO SUL,PR
15256,EMPREENDIMENTOS GLOBO LTDA,"AVENIDA ENGENHEIRO ROBERTO FREIRE, 2960",NATAL,RN
15257,GILMARIA LEITE BRUNO - ME,"RUA FAUSTO ALMEIDA COSTA, 42",OLHO DAGUA,PB
15258,JEANNE GAVA ZOPPI ME,"SAO JOSE, 214",GOVERNADOR LINDENBERG,ES
15259,DROGARIA NAGU LTDA - EPP,"RUA SETE DE SETEMBRO, Nº 284",CACHOEIRA PAULISTA,SP
15260,ROGERIO DE ANDRADE ARAUJO - ME,"R. FLORIPES COUTINHO, Nº 753",CAMPINA GRANDE,PB
15261,FARMACIAS VIDA & SAUDE LTDA,"AVENIDA CAPIVARA, 701 - SALA 02",LINDOLFO COLLOR,RS
15262,DEOCLECIO SOARES LUSTOSA - ME,"RUA DOS ARTIFICES, 1265 - A Comercial",BELEM DE SAO FRANCISCO,PE
15263,SOVINSKI & LAZARINI LTDA,"AVENIDA IVO JANGADA, 242",IMBAU,PR
15264,R.M.D. COMERCIO DE MEDICAMENTOS LTDA - ME,"RUA POTIGUARA, 3705",COLORADO DO OESTE,RO
